"Tanggal","Origin (UTC)","Lintang","Bujur","Magnitudo","Depth","Ket","Terasa","Dampak","Sumber","Petugas","Created","Updated","Actions"
"01-07-2021","14:23:19.2","-2.39","139.61","2.8","53","91 km BaratLaut KAB-JAYAPURA-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"01-07-2021","21:50:58.6","-0.69","131.73","2.3","10","53 km TimurLaut KOTA-SORONG-PAPUABRT","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"01-07-2021","22:14:02.8","-4.28","134.01","3.4","10","110 km Tenggara KAIMANA-PAPUABRT","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"02-07-2021","02:05:02.6","-2.41","134.11","4.1","10","55 km BaratLaut TELUKWONDAMA-PAPUABRT","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"02-07-2021","04:47:55.1","-2.61","139.42","4.6","57","109 km BaratDaya KAB-JAYAPURA-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"02-07-2021","09:22:54.4","-3.21","134.05","2.9","10","15 km TimurLaut KAIMANA-PAPUABRT","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"02-07-2021","17:46:47.8","-3.16","135.22","3.6","10","71 km BaratLaut NABIRE-PAPUA","tidak","","angkasa","purnama","","2021-07-02 17:59:04","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"02-07-2021","18:16:52.8","-3.16","135.22","3.1","10","71 km BaratLaut NABIRE-PAPUA","tidak","","angkasa","purnama","","2021-07-02 18:34:52","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"03-07-2021","11:27:19.8","-1.88","135.77","3.1","10","47 km BaratDaya KEP-YAPEN-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"03-07-2021","16:04:03.9","-2.73","136.82","3.6","9","21 km TimurLaut WAROPEN-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"04-07-2021","01:07:51.3","-3.66","133.70","4.0","10","49 km BaratDaya KAIMANA-PAPUABRT","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"05-07-2021","04:41:20.1","-0.32","132.61","3.0","10","57 km TimurLaut TAMBRAUW-PAPUABRT","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"05-07-2021","10:19:19.0","-2.10","140.69","3.4","10","52 km TimurLaut KOTA-JAYAPURA-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"05-07-2021","19:22:07.7","-1.73","139.03","4.5","10","34 km TimurLaut SARMI-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"05-07-2021","19:35:07.0","-1.70","138.99","4.5","10","32 km TimurLaut SARMI-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"06-07-2021","01:06:49.7","-1.58","134.27","3.6","29","16 km Tenggara RANSIKI-PAPUABRT","dirasakan","dirasakan II MMI di Ransiki","angkasa","purnama","","2021-07-06 04:25:47","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"06-07-2021","00:48:22.0","-4.23","133.84","3.0","10","105 km BaratDaya KAIMANA-PAPUABRT","tidak","","pgr v","purnama","2021-07-06 01:23:17","2021-07-06 01:23:30","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"06-07-2021","02:19:41.2","-2.04","140.79","3.1","10","62 km TimurLaut KOTA-JAYAPURA-PAPUA","tidak","","angkasa","purnama","","2021-07-06 04:25:57","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"06-07-2021","04:11:00.1","-3.76","133.57","2.9","10","67 km BaratDaya KAIMANA-PAPUABRT","tidak","","pgr v","purnama","2021-07-06 04:24:52","2021-07-06 04:25:06","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"06-07-2021","07:47:19.4","-2.18","140.40","3.1","10","45 km BaratLaut KAB-JAYAPURA-PAPUA","tidak","","angkasa","purnama","","2021-07-06 08:14:40","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"06-07-2021","07:38:10.7","-3.23","135.19","3.4","22","70 km BaratLaut NABIRE-PAPUA","tidak","","pgr v","purnama","2021-07-06 07:58:12","2021-07-06 08:14:28","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"06-07-2021","11:56:37.8","-0.13","132.86","2.8","10","89 km TimurLaut TAMBRAUW-PAPUABRT","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"06-07-2021","17:27:10.2","-2.19","139.33","3.5","30","74 km Tenggara SARMI-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"06-07-2021","19:02:14.6","-0.04","132.61","3.1","10","86 km TimurLaut TAMBRAUW-PAPUABRT","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"07-07-2021","12:30:49","-2.91","139.60","5.2","98","96 km BaratDaya KAB-JAYAPURA-PAPUA","dirasakan","dirasakan III MMI di Wamena","bmkg","purnama","","2021-08-03 00:38:24","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"07-07-2021","23:30:24.3","-1.46","133.89","3.1","66","30 km BaratLaut RANSIKI-PAPUABRT","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"08-07-2021","00:50:47.0","-4.89","133.74","3.5","10","92 km BaratLaut DOBO-MALUKU","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"08-07-2021","03:05:27.5","-3.19","139.69","4.5","20","71 km TimurLaut YALIMO-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"08-07-2021","16:29:49.5","-2.80","140.52","2.0","10","27 km Tenggara KAB-JAYAPURA-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"08-07-2021","23:55:10.5","-3.72","140.61","3.9","10","45 km BaratDaya KEEROM-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"09-07-2021","00:53:07.8","-2.78","140.59","2.3","10","24 km BaratDaya KOTA-JAYAPURA-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"09-07-2021","05:24:23.6","-2.41","139.18","2.9","10","78 km Tenggara SARMI-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"09-07-2021","13:31:12.2","-0.03","123.85","5.7","108","200 km BaratDaya MANADO-SULUT","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"09-07-2021","15:47:38.6","-2.64","140.97","2.7","24","41 km Tenggara KOTA-JAYAPURA-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"09-07-2021","23:34:07.7","-1.53","139.22","4.1","10","63 km TimurLaut SARMI-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"09-07-2021","23:51:00.1","-1.50","139.22","3.8","12","65 km TimurLaut SARMI-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"10-07-2021","02:26:04.1","-2.97","139.07","3.6","28","77 km TimurLaut KOBAKMA-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"10-07-2021","04:03:37.1","-1.47","139.23","2.9","10","68 km TimurLaut SARMI-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"10-07-2021","05:58:38.7","-2.32","140.19","2.5","10","38 km BaratLaut KAB-JAYAPURA-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"10-07-2021","08:05:27.0","-1.62","139.15","4.3","10","51 km TimurLaut SARMI-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"10-07-2021","08:51:25.2","-1.71","139.15","3.8","10","47 km TimurLaut SARMI-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"10-07-2021","14:49:26.1","-1.63","139.27","4.0","10","63 km TimurLaut SARMI-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"11-07-2021","00:00:25","-4.26","134.03","3.9","27","108 km Tenggara KAIMANA-PAPUABRT","dirasakan","dirasakan II MMI di Kaimana","pgr v","purnama","2021-07-11 01:05:48","2021-07-11 01:05:48","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
